Price,Company,TypeName,Ghz,Cpu-brand,Gpu-brand,Ram,OS,Weight,Touchscreen,Ips,Retina,PPI,Memory,HDD,SSD,Hybrid,Flash_Storage,PriceCategory
15824.16,HP,Notebook,1.8,AMD Processor,AMD,4,Windows,1.86,0,0,0,100.45466986113652,500,1,0,0,0,Entry
15824.16,Acer,Netbook,1.6,Other Intel Processor,Intel,4,Others,1.25,0,1,0,135.0942111925629,32,0,0,0,1,Entry
15877.44,Lenovo,Notebook,2.0,AMD Processor,AMD,4,Windows,2.19,0,0,0,100.45466986113652,500,1,0,0,0,Entry
15877.44,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.5,0,0,0,157.3505121487356,32,0,0,0,1,Entry
15877.44,Acer,Notebook,1.1,Other Intel Processor,Intel,4,Others,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
15930.72,Lenovo,Notebook,2.2,AMD Processor,AMD,4,Windows,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
15930.72,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.63,0,0,0,111.93520355955212,32,0,0,0,1,Entry
15930.72,Mediacom,2 in 1 Convertible,1.1,Other Intel Processor,Intel,4,Windows,1.16,1,1,0,189.90579052433608,32,0,1,0,0,Entry
15930.72,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.1,0,0,0,111.93520355955212,500,1,0,0,0,Entry
15930.72,HP,Notebook,1.6,Other Intel Processor,Intel,4,Others,1.86,0,0,0,100.45466986113652,128,0,1,0,0,Entry
16197.12,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.0,0,0,0,100.45466986113652,500,1,0,0,0,Entry
16221.096,Lenovo,Notebook,1.1,Other Intel Processor,Intel,2,Windows,1.15,0,0,0,135.0942111925629,32,0,0,0,1,Entry
16303.68,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.2,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
16463.52,Lenovo,Notebook,2.9,AMD Processor,AMD,4,Others,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
16463.52,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.2,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
16463.52,Dell,Notebook,1.6,Other Intel Processor,Intel,4,Windows,1.8,0,0,0,100.45466986113652,500,1,0,0,0,Entry
16463.52,Asus,Notebook,1.6,Other Intel Processor,Intel,4,Windows,2.65,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
16943.04,Lenovo,Notebook,1.6,Other Intel Processor,Intel,4,Windows,2.1,0,0,0,100.45466986113652,500,1,0,0,0,Entry
16996.32,Lenovo,2 in 1 Convertible,1.44,Other Intel Processor,Intel,4,Others,0.69,1,1,0,224.1738090785728,64,0,0,0,1,Entry
